33.099999791758414, 1, greenish_blue, Exit
33.16666645800566, 3, greenish_blue, Entry
35.99999977351368, 2, orange, Exit
36.03333310663731, 1, yellow, Entry
36.06666643976093, 2, orange, Entry
39.999999748348536, 2, orange, Exit
40.03333308147216, 2, orange, Entry
40.46666641207927, 3, greenish_blue, Exit
40.49999974520289, 3, greenish_blue, Entry
40.566666411450136, 3, greenish_blue, Exit
40.566666411450136, 4, greenish_blue, Entry
40.76666641019188, 4, greenish_blue, Exit
40.76666641019188, 3, greenish_blue, Entry
43.999999723183386, 2, orange, Exit
43.999999723183386, 3, greenish_blue, Exit
43.999999723183386, 4, greenish_blue, Entry
44.4333330537905, 4, greenish_blue, Exit
44.4333330537905, 3, greenish_blue, Entry
44.53333305316137, 3, greenish_blue, Exit
48.033333031141865, 1, greenish_blue, Entry
48.23333302988361, 1, greenish_blue, Exit
48.23333302988361, 2, greenish_blue, Entry
48.26666636300723, 2, greenish_blue, Exit
48.26666636300723, 4, greenish_blue, Entry
48.43333302862535, 4, greenish_blue, Exit
48.43333302862535, 2, greenish_blue, Entry
48.666666360490716, 1, yellow, Exit
48.699999693614345, 1, yellow, Entry
48.73333302673797, 2, orange, Entry
48.73333302673797, 1, yellow, Exit
48.73333302673797, 2, yellow, Entry
48.76666635986159, 2, greenish_blue, Exit
48.76666635986159, 4, greenish_blue, Entry
48.79999969298521, 2, orange, Exit
48.79999969298521, 2, yellow, Exit
48.83333302610884, 3, yellow, Entry
49.933333019188424, 4, greenish_blue, Exit
49.933333019188424, 2, greenish_blue, Entry
50.166666351053784, 2, greenish_blue, Exit
50.166666351053784, 1, greenish_blue, Entry
51.133333011638875, 1, greenish_blue, Exit
51.133333011638875, 2, greenish_blue, Entry
51.533333009122366, 2, greenish_blue, Exit
51.533333009122366, 4, greenish_blue, Entry
51.69999967474048, 1, orange, Entry
51.733333007864104, 4, greenish_blue, Exit
51.733333007864104, 2, greenish_blue, Entry
51.99999967285309, 1, orange, Exit
52.03333300597672, 1, orange, Entry
52.46666633658383, 2, greenish_blue, Exit
52.46666633658383, 4, greenish_blue, Entry
53.299999664674424, 4, greenish_blue, Exit
53.299999664674424, 2, greenish_blue, Entry
54.79999965523749, 2, greenish_blue, Exit
54.86666632148474, 1, greenish_blue, Entry
54.96666632085561, 1, greenish_blue, Exit
54.96666632085561, 4, greenish_blue, Entry
55.99999964768795, 1, orange, Exit
56.03333298081157, 1, orange, Entry
56.36666631204781, 4, greenish_blue, Exit
56.433332978295056, 1, greenish_blue, Entry
56.53333297766593, 1, greenish_blue, Exit
56.53333297766593, 4, greenish_blue, Entry
59.9999996225228, 1, orange, Exit
59.9999996225228, 4, greenish_blue, Exit
59.9999996225228, 3, yellow, Exit
60.03333295564643, 1, orange, Entry
60.03333295564643, 4, greenish_blue, Entry
60.03333295564643, 3, yellow, Entry
61.766666278074865, 4, greenish_blue, Exit
63.33333293488518, 4, greenish_blue, Entry
63.99999959735766, 1, orange, Exit
63.99999959735766, 3, yellow, Exit
64.03333293048128, 1, orange, Entry
64.03333293048128, 3, yellow, Entry
64.93333292481913, 4, greenish_blue, Exit
64.93333292481913, 1, greenish_blue, Entry
64.96666625794275, 1, greenish_blue, Exit
64.96666625794275, 2, greenish_blue, Entry
65.06666625731361, 2, greenish_blue, Exit
65.06666625731361, 1, greenish_blue, Entry
65.69999958666247, 1, greenish_blue, Exit
65.69999958666247, 2, greenish_blue, Entry
65.96666625165146, 2, greenish_blue, Exit
65.96666625165146, 1, greenish_blue, Entry
66.56666624787668, 1, greenish_blue, Exit
66.56666624787668, 2, greenish_blue, Entry
66.76666624661843, 3, yellow, Exit
66.79999957974205, 2, yellow, Entry
66.83333291286567, 1, orange, Exit
66.86666624598931, 2, greenish_blue, Exit
66.86666624598931, 1, greenish_blue, Entry
67.73333290720352, 1, greenish_blue, Exit
67.99999957219251, 1, greenish_blue, Entry
